100 2
2 2 
8 10 1
13 15 2
7 10 1
23 2 1
19 22 1
12 14 2
12 15 2
6 9 1
5 9 2
3 5 2
19 21 1
9 12 2
8 10 1
11 14 2
23 1 2
12 14 2
3 6 1
8 11 2
20 23 1
9 13 1
17 20 2
18 21 2
9 10 2
9 11 2
14 18 1
2 4 2
0 3 2
3 6 2
13 16 2
11 13 2
11 15 2
23 3 1
1 5 2
22 2 1
7 10 2
13 16 2
5 8 2
13 17 1
16 19 1
0 3 2
16 19 2
1 3 1
9 12 2
2 5 1
6 9 1
14 16 1
23 1 1
11 13 1
8 10 2
8 12 2
23 3 1
23 3 1
18 22 2
14 18 2
20 23 1
5 10 1
14 16 1
17 19 2
14 17 2
7 10 1
10 13 1
21 23 1
5 7 2
22 1 1
14 18 2
15 17 2
1 6 1
1 4 1
4 5 1
4 8 2
9 13 2
4 6 1
13 16 1
15 17 1
11 15 1
10 14 2
3 6 2
8 13 2
8 11 2
15 20 2
14 18 2
15 16 1
5 7 1
0 3 2
20 0 1
22 1 1
8 12 2
15 19 2
23 2 2
0 4 1
13 16 1
11 14 1
1 5 1
18 22 2
11 14 2
21 1 1
9 11 2
23 2 1
13 18 2
18 20 2
