abordagem,num_filmes,num_categoriar,filmes_escolhidos,runtime
thrust,5,6,3,0.31490230560302734
thrust,25,2,3,1.8222167491912842
openmp,10,6,3,0.1053476333618164
thrust,25,6,7,1.8135950565338135
thrust,10,5,4,0.3046302795410156
openmp,5,5,3,0.10341882705688477
thrust,5,4,3,0.30791735649108887
openmp,10,5,4,0.10282063484191895
openmp,25,4,7,57.00390982627869
thrust,15,5,6,0.2035675048828125
thrust,20,6,8,0.3066267967224121
openmp,15,5,6,0.10493683815002441
openmp,5,3,3,0.10309576988220215
openmp,15,3,4,0.10434126853942871
thrust,10,4,5,0.20373821258544922
openmp,25,3,3,44.687126874923706
openmp,15,4,7,0.10349559783935547
openmp,25,2,3,44.97563695907593
openmp,5,6,3,0.10379886627197266
thrust,15,3,4,0.30388665199279785
thrust,20,4,5,0.3036031723022461
thrust,20,5,7,0.30403947830200195
openmp,20,4,5,1.5117132663726807
openmp,25,6,7,57.99993848800659
openmp,20,3,6,1.5071816444396973
thrust,25,5,8,1.7084369659423828
openmp,15,2,4,0.10363268852233887
thrust,5,2,2,0.3038203716278076
openmp,5,2,2,0.10357999801635742
thrust,25,4,7,1.7128229141235352
openmp,5,4,3,0.10279178619384766
openmp,25,5,8,56.638986349105835
thrust,5,5,3,0.20350193977355957
thrust,15,4,7,0.304088830947876
openmp,20,6,8,1.6067705154418945
openmp,10,2,4,0.10300922393798828
openmp,15,6,7,0.1049659252166748
thrust,25,3,3,1.6128690242767334
thrust,15,2,4,0.30408811569213867
thrust,15,6,7,0.30449628829956055
thrust,20,3,6,0.3042457103729248
openmp,20,2,2,1.0058603286743164
thrust,20,2,2,0.3039109706878662
thrust,5,3,3,0.20370841026306152
openmp,10,4,5,0.10284304618835449
openmp,20,5,7,1.4121325016021729
thrust,10,6,3,0.20386266708374023
thrust,10,2,4,0.20337224006652832
thrust,10,3,4,0.30408787727355957
openmp,10,3,4,0.1067655086517334
